name,age,gender,location,year,Were you able to vote in the recent Lok Sabha election?,When did you decide whom to vote for?,What mattered more to you in this election party or candidate?,Which party do you prefer overall?,Did you vote for this party because you really wanted to or due to lack of alternatives?,Whose opinion mattered the most while deciding whom to vote for?,Why were you not able to vote in the recent Lok Sabha election?,How interested were you in the election campaign this time?,Were you or a family member contacted by political parties through phone or social media?,"As compared to five years ago, how is the economic condition of your household today?",Rate the effectiveness of the recent government policies (1 to 5),What is your top issue for this election?,Do you think the government is handling inflation effectively?,Has your trust in the judiciary improved over the last five years?,Did a candidate or party member visit your house to ask for your vote?,How satisfied are you with the BJP-led NDA government's performance over the last five years? Rate (1 to 5),Which government work in the last five years did you like the most?,Do you think regular change of government promotes development?,What is your opinion on the most suitable Prime Ministerial candidate?,What do you think is the most important challenge facing the country today?,Share your thoughts on the current government's performance.,What is your opinion on Narendra Modi's leadership?
Ishita Chopra,43,Non-binary,Urban,2025,Able to vote,No response,No response,INC,No good alternative,Religious leader,No response,Great deal,Did not respond,No response,1,Other,Yes,No,No,5,Employment opportunities,Statement 2: Important for the same party to remain,Narendra Modi,The lack of job security in the gig economy is troubling.,Ease of doing business has improved visibly.,Agricultural reforms under him are controversial but necessary.
sushant Mehta,60,Male,Suburban,2020,Able to vote,During the campaign,Party,AAP,No good alternative,"No one, I voted on my own",No response,Somewhat,No,Worse,5,Other,No,No,No,3,Improving infrastructure,No response,Arvind Kejriwal,Judicial delays are denying timely justice.,Technology integration in governance is appreciated.,There is a clear gap between his vision and execution.
sushant Mehta,60,Male,Suburban,2021,Able to vote,No response,No response,Not sure,Really wanted to vote,Caste/community leader,No response,Not at all,Don't know,Worse,1,Other,Not sure,Yes,No,5,Modi's leadership,Statement 2: Important for the same party to remain,Priyanka Gandhi,Access to quality education is a significant concern.,Social harmony remains a challenge for this government.,Digital India is one of his landmark achievements.
sushant Mehta,60,Male,Suburban,2022,Able to vote,During the campaign,Candidate,AAP,Really wanted to vote,Religious leader,No response,Great deal,Did not respond,Much worse,3,Other,Not sure,Yes,Don't know,3,No response,No response,Arvind Kejriwal,Unemployment among the youth is alarming.,Environmental conservation is not getting due priority.,There is a clear gap between his vision and execution.
sushant Mehta,60,Male,Suburban,2023,Able to vote,No response,PM candidate,BSP,Really wanted to vote,Religious leader,No response,Somewhat,Did not respond,Much better,1,National Security,No,No,Don't know,1,No response,Statement 2: Important for the same party to remain,No response,The lack of job security in the gig economy is troubling.,Corruption scandals are less frequent but not eradicated.,Modi has brought India global recognition like never before.
sushant Mehta,60,Male,Suburban,2024,Able to vote,A day or two before voting,No response,BJP,No response,Friends/neighbors,No response,Somewhat,Don't know,No response,1,National Security,Yes,Yes,No,5,Employment opportunities,No response,Narendra Modi,Corruption is still pervasive in many sectors.,"Economic growth is visible, but inflation persists.",His reforms are long-term but challenging in the short term.
sushant Mehta,60,Male,Suburban,2025,Able to vote,Even before announcement of candidates,Party,AAP,No good alternative,Other,No response,Great deal,Yes,Much worse,1,Economy,Not sure,Yes,Yes,1,Improving infrastructure,Statement 1: Promotes development,Arvind Kejriwal,Healthcare in rural areas is inadequate.,Policy implementation varies significantly by state.,Modi's charisma has inspired millions across the nation.
Suresh Reddy,29,Non-binary,Urban,2020,Not able to vote,Even before announcement of candidates,Party,Not sure,No good alternative,Caste/community leader,Did not have necessary documents,Great deal,Did not respond,Much worse,2,Other,No,No,No,5,Global image,Statement 2: Important for the same party to remain,Other,Transportation infrastructure needs massive upgrades.,Employment generation has not kept up with promises.,Agricultural reforms under him are controversial but necessary.
Suresh Reddy,29,Non-binary,Urban,2021,Not able to vote,After announcement of candidates,Party,BSP,No good alternative,Don't know,Did not have necessary documents,No response,Did not respond,Worse,1,Education,Not sure,No,No,4,Global image,Statement 1: Promotes development,Narendra Modi,Healthcare in rural areas is inadequate.,Skill development initiatives are showing results slowly.,He has a strong focus on national security.
Suresh Reddy,29,Non-binary,Urban,2022,Able to vote,No response,No response,Not sure,No good alternative,Caste/community leader,No response,Not at all,Don't know,Much worse,2,National Security,No,Yes,Yes,4,No response,Statement 1: Promotes development,No response,Transportation infrastructure needs massive upgrades.,"Economic growth is visible, but inflation persists.",He has set a high bar for future leadership.
Suresh Reddy,29,Non-binary,Urban,2023,Able to vote,After announcement of candidates,PM candidate,BJP,No good alternative,Don't know,No response,Great deal,Don't know,No response,5,Education,Yes,No,Don't know,5,Improving infrastructure,Statement 1: Promotes development,Narendra Modi,Transportation infrastructure needs massive upgrades.,Corruption scandals are less frequent but not eradicated.,The focus on infrastructure is highly appreciated.
Suresh Reddy,29,Non-binary,Urban,2024,Not able to vote,On the day of voting,No response,AAP,No response,Other,Did not have necessary documents,No response,Don't know,Better,3,Economy,No,No,Don't know,3,Global image,No response,Arvind Kejriwal,Corruption is still pervasive in many sectors.,Policy implementation varies significantly by state.,Modi's charisma has inspired millions across the nation.
Suresh Reddy,29,Non-binary,Urban,2025,Not able to vote,No response,PM candidate,Not sure,No response,Other,Was not in village/city,Somewhat,Don't know,Remained same,2,National Security,Yes,No,No,5,Other,Statement 1: Promotes development,Rahul Gandhi,Access to quality education is a significant concern.,Social harmony remains a challenge for this government.,The focus on infrastructure is highly appreciated.
Sneha Kumar,56,Male,Rural,2020,Able to vote,Even before announcement of candidates,PM candidate,BSP,No good alternative,Local political leader,No response,Not at all,Don't know,Worse,5,Healthcare,Yes,No,Don't know,1,Employment opportunities,Statement 2: Important for the same party to remain,Narendra Modi,Agriculture reforms are needed for farmer sustainability.,Employment generation has not kept up with promises.,His ability to connect with the masses is unmatched.
Sneha Kumar,56,Male,Rural,2021,Not able to vote,After announcement of candidates,PM candidate,INC,Really wanted to vote,Other,Was not in village/city,No response,Did not respond,Much better,5,Healthcare,No,Yes,Yes,1,Improving infrastructure,Statement 2: Important for the same party to remain,Priyanka Gandhi,Rising inflation is affecting middle-class families heavily.,The push for renewable energy is commendable.,There is a clear gap between his vision and execution.
Sneha Kumar,56,Male,Rural,2022,Not able to vote,A day or two before voting,PM candidate,Not sure,Really wanted to vote,Religious leader,Did not feel like voting,Great deal,Did not respond,Better,4,Education,Yes,Yes,Yes,3,Employment opportunities,Statement 2: Important for the same party to remain,Other,Accessibility for the differently-abled is often ignored.,The push for renewable energy is commendable.,He has a strong focus on national security.
Sneha Kumar,56,Male,Rural,2023,Not able to vote,On the day of voting,Candidate,BSP,No response,Other,Did not feel like voting,No response,Yes,Much worse,3,Other,No,No,Yes,5,Global image,Statement 1: Promotes development,Other,Water scarcity is a growing challenge in arid regions.,Education initiatives are underfunded and overlooked.,Agricultural reforms under him are controversial but necessary.
Sneha Kumar,56,Male,Rural,2024,Able to vote,On the day of voting,No response,BJP,No response,Caste/community leader,No response,Not at all,Did not respond,No response,5,National Security,Not sure,Yes,Don't know,1,Employment opportunities,No response,Narendra Modi,Corruption is still pervasive in many sectors.,Environmental conservation is not getting due priority.,Economic policies under him are bold but risky.
Sneha Kumar,56,Male,Rural,2025,Not able to vote,A day or two before voting,No response,AAP,Really wanted to vote,Family member,Other,Somewhat,Yes,Worse,4,Other,Not sure,Yes,No,1,Global image,Statement 2: Important for the same party to remain,Arvind Kejriwal,Access to quality education is a significant concern.,Skill development initiatives are showing results slowly.,The handling of economic crises is his weak point.
Aarav Sharma,21,Female,Rural,2020,Not able to vote,On the day of voting,PM candidate,BJP,Really wanted to vote,Caste/community leader,Was not in village/city,Great deal,Don't know,Much worse,5,Healthcare,No,Yes,Yes,1,Improving infrastructure,Statement 1: Promotes development,Narendra Modi,Agriculture reforms are needed for farmer sustainability.,Policy implementation varies significantly by state.,Social welfare programs have expanded under his tenure.
Aarav Sharma,21,Female,Rural,2021,Not able to vote,During the campaign,Party,BSP,No good alternative,Caste/community leader,Other,Somewhat,No,Remained same,4,Healthcare,Yes,Yes,Yes,2,Employment opportunities,No response,Other,Healthcare in rural areas is inadequate.,Support for startups has been promising.,The Make in India initiative is gaining traction.
Aarav Sharma,21,Female,Rural,2022,Not able to vote,During the campaign,No response,AAP,No response,Don't know,Did not have necessary documents,Not at all,No,Worse,5,Economy,Not sure,No,No,5,Global image,Statement 1: Promotes development,Arvind Kejriwal,The disparity in healthcare costs is concerning.,Skill development initiatives are showing results slowly.,Modi's charisma has inspired millions across the nation.
Aarav Sharma,21,Female,Rural,2023,Able to vote,No response,PM candidate,BSP,Really wanted to vote,Other,No response,Great deal,Did not respond,Better,1,Economy,Not sure,Yes,Don't know,5,Global image,No response,Arvind Kejriwal,Agriculture reforms are needed for farmer sustainability.,Support for startups has been promising.,There is a clear gap between his vision and execution.
Aarav Sharma,21,Female,Rural,2024,Able to vote,During the campaign,Party,AAP,No response,Family member,No response,Great deal,Don't know,Remained same,4,National Security,Not sure,No,Yes,5,Other,Statement 2: Important for the same party to remain,Arvind Kejriwal,Unemployment among the youth is alarming.,Corruption scandals are less frequent but not eradicated.,Economic policies under him are bold but risky.
Aarav Sharma,21,Female,Rural,2025,Not able to vote,A day or two before voting,Candidate,INC,Really wanted to vote,Don't know,Other,Great deal,Don't know,Much worse,4,Economy,No,Yes,Don't know,1,No response,No response,Narendra Modi,The lack of job security in the gig economy is troubling.,Environmental conservation is not getting due priority.,His communication skills are his strongest asset.
Aryan Kumar,47,Female,Urban,2020,Not able to vote,On the day of voting,Party,BJP,No good alternative,Family member,Was ill,Somewhat,No,Much better,3,Healthcare,Yes,No,Don't know,5,No response,No response,Narendra Modi,Healthcare in rural areas is inadequate.,Efforts on poverty alleviation show mixed results.,Digital India is one of his landmark achievements.
